2018-01-1917:38:19.880INFO[main][io.hops.examples.hive.HiveJDBCClient][getHiveJDBCConnection][io.hops.examples.hive.HiveJDBCClient.getHiveJDBCConnection(HiveJDBCClient.java:65)]-Reading hive credentials from properties file
2018-01-1917:38:19.882INFO[main][io.hops.examples.hive.HiveJDBCClient][getHiveJDBCConnection][io.hops.examples.hive.HiveJDBCClient.getHiveJDBCConnection(HiveJDBCClient.java:67)]-Establishing connection to Hive server at:jdbc:hive2://hops.site:9084
2018-01-1917:38:37.309INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-PLACERVILLE	363863.4
2018-01-1917:38:37.309INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-POLLOCK PINES	240302.66666666666
2018-01-1917:38:37.309INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-RANCHO CORDOVA	263405.9285714286
2018-01-1917:38:37.309INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-RANCHO MURIETA	297750.0
2018-01-1917:38:37.309INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-RIO LINDA	172727.61538461538
2018-01-1917:38:37.310INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-ROCKLIN	381835.82352941175
2018-01-1917:38:37.310INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-ROSEVILLE	324528.25
2018-01-1917:38:37.310INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-SACRAMENTO	197735.98861047835
2018-01-1917:38:37.310INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-SHINGLE SPRINGS	275000.0
2018-01-1917:38:37.310INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-SLOUGHHOUSE	2000.0
2018-01-1917:38:37.310INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-WALNUT GROVE	380000.0
2018-01-1917:38:37.311INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-WEST SACRAMENTO	170700.0
2018-01-1917:38:37.311INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:48)]-WILTON	617508.4
2018-01-1917:38:40.104INFO[main][io.hops.examples.hive.HiveJDBCClient][main][io.hops.examples.hive.HiveJDBCClient.main(HiveJDBCClient.java:53)]-Exiting...
